PassengerId,Name,Sex,Age,Ticket,Seat
1041,Lahtinen Rev. William,male,30,250651,L15
976,Lamb Mr. John Joseph,male,35,240261,C52
1024,Lefebre Mrs. Frank (Frances),female,35,4133,K42
1036,Lindeberg-Lind Mr. Erik Gustaf (Mr Edward Lingrey),male,42,17475,K54
1062,Lithman Mr. Simon,male,35,S.O./P.P. 251,L51
922,Louch Mr. Charles Alexander,male,50,SC/AH 3085,B12
1049,Lundin Miss. Olga Elida,female,23,347469,L38
989,Makinen Mr. Kalle Edvard,male,29,STON/O 2. 3101268,J36
946,Mangiavacchi Mr. Serafino Emilio,male,35,SC/A.3 2861,B51
1043,Matinoff Mr. Nicola,male,35,349255,L32
1019,McCoy Miss. Alicia,female,35,367226,K37
953,McCrae Mr. Arthur Gordon,male,32,237216,C14
968,Miles Mr. Frank,male,35,359306,C44
963,Minkoff Mr. Lazar,male,21,349211,C39
926,Mock Mr. Philipp Edmund,male,30,13236,B31
959,Moore Mr. Clarence Bloomfield,male,47,113796,C35
962,Mulvihill Miss. Bertha E,female,24,382653,C38
894,Myles Mr. Thomas Francis,male,62,240276,A13
991,Nancarrow Mr. William Henry,male,33,A./5. 3338,J38
964,Nieminen Miss. Manta Josefina,female,29,3101297,C40
980,O'Donoghue Ms. Bridget,female,35,364856,J12
913,Olsen Master. Artur Karl,male,9,C 17368,A47
918,Ostby Miss. Helene Ragnhild,female,22,113509,A52
965,Ovies y Rodriguez Mr. Servando,male,29,PC 17562,C41
1051,Peacock Mrs. Benjamin (Edith Nile),female,26,SOTON/O.Q. 3101315,L40
1055,Pearce Mr. Ernest,male,35,343271,L44
983,Pedersen Mr. Olaf,male,35,345498,J15
937,Peltomaki Mr. Nikolai Johannes,male,25,STON/O 2. 3101291,B42
1056,Peruschitz Rev. Joseph Maria,male,41,237393,L45
1021,Petersen Mr. Marius,male,24,342441,K39
943,Pulbaum Mr. Franz,male,27,SC/PARIS 2168,B48
947,Rice Master. Albert,male,10,382652,B52
917,Robins Mr. Alexander A,male,50,A/5. 3337,A51
928,Roth Miss. Sarah A,female,35,342712,B33
912,Rothschild Mr. Martin,male,55,PC 17603,A46
999,Ryan Mr. Edward,male,35,383162,J46
956,Ryerson Master. John Borie,male,13,PC 17608,C32
1034,Ryerson Mr. Arthur Larned,male,61,PC 17608,K52
916,Ryerson Mrs. Arthur Larned (Emily Maria Borie),female,48,PC 17608,A50
921,Samaan Mr. Elias,male,35,2662,B11
1009,Sandstrom Miss. Beatrice Irene,female,1,PP 9549,K12
930,Sap Mr. Julius,male,25,345768,B35
1014,Schabert Mrs. Paul (Emma Mock),female,35,13236,K32
1029,Schmidt Mr. August,male,26,248659,K47
939,Shaughnessy Mr. Patrick,male,35,370374,B44
1003,Shine Miss. Ellen Natalia,female,35,330968,J50
942,Smith Mr. Lucien Philip,male,24,13695,B47
1052,Smyth Miss. Julia,female,35,335432,L41
904,Snyder Mrs. John Pillsbury (Nelle Stevenson),female,23,21228,A38
1022,Spinner Mr. Henry John,male,32,STON/OQ. 369943,K40
1002,Stanton Mr. Samuel Ward,male,41,237734,J49
992,Stengel Mrs. Charles Emil Henry (Annie May Morris),female,43,11778,J39
1044,Storey Mr. Thomas,male,61,3701,L33
973,Straus Mr. Isidor,male,67,PC 17483,C49
1006,Straus Mrs. Isidor (Rosalie Ida Blun),female,63,PC 17483,J53
897,Svensson Mr. Johan Cervin,male,14,7538,A31
1001,Swane Mr. George,male,19,248734,J48
987,Tenglin Mr. Gunnar Isidor,male,25,350033,J34
1025,Thomas Mr. Charles P,male,35,2621,K43
1008,Thomas Mr. John,male,35,2681,K11
996,Thomas Mrs. Alexander (Thamine Thelma),female,16,2625,J43
1065,Torfa Mr. Assad,male,35,2673,L54
1053,Touma Master. Georges Youssef,male,7,2650,L42
960,Tucker Mr. Gilbert Milligan Jr,male,31,2543,C36
1037,Vander Planke Mr. Julius,male,31,345763,L11
1012,Watt Miss. Bertha J,female,12,C.A. 33595,K15
993,Weisz Mr. Leopold,male,27,228414,J40
981,Wells Master. Ralph Lester,male,2,29103,J13
893,Wilkes Mrs. James (Ellen Needs),female,47,363272,A12
1000,Willer Mr. Aaron (Abi Weller),male,35,3410,J47
915,Williams Mr. Richard Norris II,male,21,PC 17597,A49
895,Wirz Mr. Albert,male,27,315154,A14
1054,Wright Miss. Marion,female,26,220844,L43
1028,Zakarian Mr. Mapriededer,male,27,2656,K46
1063,Zakarian Mr. Ortin,male,27,2670,L52
